entry_time,exit_time,type,regime,strategy,entry_price,exit_price,size,pnl,close_reason,account_balance
2009-04-12 22:00:00,2009-04-13 00:30:00,SHORT,VOLATILE,Cautious Mean Reversion,887.1,889.08,0.17257256198575338,-0.34169367273179485,Stop Loss,1004.0779987599345
2009-04-13 00:30:00,2009-04-13 06:00:00,LONG,TRENDING,Momentum Breakout,889.08,887.85,0.1280212559177846,-0.15746614477887738,Regime Change,1003.9205326151557
2009-04-13 07:30:00,2009-04-13 08:00:00,LONG,VOLATILE,Cautious Mean Reversion,886.48,889.98,0.15667458813384502,0.5483610584684576,Target Hit,1004.4688936736242
2009-04-13 08:30:00,2009-04-13 13:30:00,LONG,TRENDING,Momentum Breakout,897.25,892.38,0.1141004175362158,-0.5556690334013715,Stop Loss,1003.9132246402228
2009-04-14 00:00:00,2009-04-14 06:00:00,SHORT,VOLATILE,Cautious Mean Reversion,898.53,893.83,0.11649349181024685,0.5475194115081522,Target Hit,1004.4607440517309
2009-04-14 06:00:00,2009-04-14 08:00:00,LONG,VOLATILE,Cautious Mean Reversion,893.83,890.2,0.15702189140326397,-0.5699894657938475,Stop Loss,1003.8907545859371
2009-04-14 08:00:00,2009-04-14 18:30:00,LONG,VOLATILE,Cautious Mean Reversion,890.2,890.33,0.10702145604372816,0.013912789285684174,Regime Change,1003.9046673752227
2009-04-14 21:30:00,2009-04-15 03:00:00,SHORT,VOLATILE,Cautious Mean Reversion,892.98,890.03,0.13644771739634629,0.40252076631922773,Target Hit,1004.3071881415419
2009-04-16 03:30:00,2009-04-16 05:00:00,SHORT,VOLATILE,Cautious Mean Reversion,893.25,890.88,0.14891310056354062,0.35292404833559193,Target Hit,1004.6601121898775
2009-04-16 09:30:00,2009-04-16 17:30:00,SHORT,TRENDING,Momentum Breakout,881.2,875.05,0.07744297458907948,0.47627429372284585,Regime Change,1005.1363864836004
2009-04-17 02:00:00,2009-04-17 02:30:00,LONG,VOLATILE,Cautious Mean Reversion,873.73,875.48,0.19696689136391354,0.3446920598868487,Target Hit,1005.4810785434872
2009-04-17 04:30:00,2009-04-17 06:30:00,LONG,VOLATILE,Cautious Mean Reversion,871.2,869.0,0.17242262657791171,-0.37932977847141364,Stop Loss,1005.1017487650158
2009-04-17 06:30:00,2009-04-17 08:00:00,SHORT,TRENDING,Momentum Breakout,869.0,872.08,0.13189088666946086,-0.40622393094194487,Stop Loss,1004.6955248340739
2009-04-20 03:00:00,2009-04-20 08:00:00,SHORT,VOLATILE,Cautious Mean Reversion,870.83,877.68,0.15003841867672568,-1.0277631679355572,Stop Loss,1003.6677616661384
2009-04-20 08:00:00,2009-04-20 16:00:00,LONG,TRENDING,Momentum Breakout,877.68,885.03,0.0850047637883983,0.6247850138447294,Regime Change,1004.2925466799832
2009-04-21 02:00:00,2009-04-21 08:00:00,SHORT,VOLATILE,Cautious Mean Reversion,889.13,894.18,0.13965169819083637,-0.7052410758637173,Stop Loss,1003.5873056041195
2009-04-21 08:00:00,2009-04-21 09:30:00,LONG,TRENDING,Momentum Breakout,894.18,889.03,0.07810827079496999,-0.40225759459409366,Stop Loss,1003.1850480095254
2009-04-21 11:00:00,2009-04-21 18:30:00,SHORT,TRENDING,Momentum Breakout,882.6,883.78,0.065411238117932,-0.07718526097915648,Regime Change,1003.1078627485463
2009-04-22 02:30:00,2009-04-22 08:00:00,SHORT,RANGING,Mean Reversion,885.58,889.2,0.15693760858681863,-0.5681141430842841,Stop Loss,1002.539748605462
2009-04-22 08:00:00,2009-04-22 09:00:00,LONG,TRENDING,Momentum Breakout,889.2,885.88,0.10964129128621329,-0.3640090870702336,Stop Loss,1002.1757395183918
